Start,End,What,With,Where,Tag,Why
1/1/17,10/15/18,NSF grant coordinator,Tufts University,"Medford, MA",research,Schedule and coordinate conference calls and meetings with collaborators
,,,,,,Maintain public-facing website for grant
,,,,,,Communicate research findings to general public via blog posts and social media
6/15/14,5/15/20,Graduate Researcher,Tufts University,"Medford, MA",research,"Conducted collaborative, interdisciplinary research on the effects of climate change and insect herbivory on tea metabolites"
,,,,,,"Designed and carried out field, greenhouse, and lab experiments at the Tea Research Institute in Hangzhou, China and at Tufts University"
,,,,,,"Developed and validated a novel, high-throughput method for sampling plant volatiles in the field"
,,,,,,"Mentored undergraduate assistants in computational, lab, and field experiments"
7/1/10,12/31/10,Research Assistant,Colorado Natural Heritage Program,"Fort Collins, CO",research,Worked as part of a team to survey remote wetlands throughout Colorado
,,,,,,Carried out soil and vegetation sampling protocols and plant identification in the field
8/1/07,5/15/10,Graduate Researcher,UIUC,"Urbana, IL",research,Successfully completed research projects investigating the effects of soil nutrients and herbivory on compensatory growth and chemical defenses in a wildflower
,,,,,,Mentored undergraduate research assistants
6/1/05,8/15/05,Research Intern,Bucknell University,"Lewisburg, PA",research,Collaborated with post-doctoral researcher to design a pilot study investigating host-race formation in a gall midge
,,,,,,"Designed and carried out field and lab experiments, analyzed data, and contributed to published manuscripts"
7/15/16,12/15/18,Biostatistics (Recitation Instructor),Tufts University,"Medford, MA",teaching,"Served as a teaching assistant for three semesters, over which I transitioned the course from using SPSS to R for statistical analyses"
,,,,,,Created curriculum for a required recitation to teach R for biostatistics (available on \href{https://github.com/Aariq/biostats-recitation-2018}{GitHub})
,,,,,,Created homework assignments using R Markdown documents
1/15/15,5/15/15,Organisms and Populations (Lab TA),Tufts University,"Medford, MA",teaching,Mentored and managed undergraduate teaching assistants
,,,,,,Actively participated in course redesign
,,,,,,Facilitated case-study based learning through discussion and quantitative reasoning and guided students in designing their own experiments
9/15/14,12/15/14,Cells and Organisms (Lab TA),Tufts University,"Medford, MA",teaching,Mentored and managed undergraduate teaching assistants
,,,,,,Created weekly quizzes to assess learning and preparation for lab
1/15/11,5/15/14,General Biology I (Adjunct Faculty),Front Range Community College,"Fort Collins, CO",teaching,Taught students with a wide variety of backgrounds and life goals introductory biology concepts in a guaranteed transfer credit course
,,,,,,Created and continuously revised my own curriculum and assessments and engaged in revising and creating laboratory exercises used by all introductory biology sections
,,,,,,"Actively participated in professional development by attending workshops, meeting individually with an instructional coach, and maintaining an active dialogue with supervisors"
1/15/10,5/15/10,Environmental Biology (Discussion TA),UIUC,"Urbana, IL",teaching,Encouraged students from a wide range of backgrounds to think critically about important environmental issues
8/15/07,12/15/09,Organismal and Evolutionary Biology (Lab TA),UIUC,"Urbana, IL",teaching,Worked with diverse populations as part of the Merit program for high achieving students from under-served groups
,,,,,,Received a Teaching Excellence Award from the School of Integrative Biology in March 2009
6/1/03,8/1/03,Youth Programs Assistant,Lindsay Wildlife Experience,"Walnut Creek, CA",teaching,Researched issues relating to water pollution and integrated pest management (IPM)
,,,,,,Created presentations on water pollution and IPM to be presented by youth volunteers
,,,,,,Organized existing presentations into an easily expandable database
,,,,,,Mentored and supervised youth volunteers
,,,,,,Served as a knowledgeable resource for youth volunteers and museum visitors
9/15/02,12/15/02,Lab Assistant,Whitman College,"Walla Walla, WA",teaching,Prepared materials and equipment for general chemistry lab class
,,,,,,Addressed student needs during lab as required
,,,,,,Carefully created inventory of lab equipment held in stock room
6/1/02,8/1/02,Teacher,Mad Science,"Walnut Creek, CA",teaching,"Presented science-based educational programs for schools, birthday parties, and community centers"
,,,,,,Demonstrated scientific concepts using hands-on activities
,,,,,,Adjusted curriculum to be appropriate for groups of children between the ages of 3 and 12
1/1/97,5/29/02,Interpretive Guide,Lindsay Wildlife Experience,"Walnut Creek, CA",teaching,Communicated issues regarding wildlife and the environment to audiences of all ages
,,,,,,Demonstrated topics such as water pollution and composting through hands-on activities
,,,,,,Created games and activities to engage the public in environmental issues
,,,,,,"Worked closely with other docents, wildlife hospital volunteers and employees, and wildlife handlers"
1/1/11,5/15/14,Leafster (Sales Associate),Happy Lucky's Teahouse and Treasures,"Fort Collins, CO",other,"Served as a knowledgeable resource on all aspects of tea including chemistry of tea, health benefits, brewing, production, cultural aspects, blending and more."
,,,,,,"Taught several classes including an introduction to tea, and gongfu cha, AKA the 'Chinese tea ceremony'"
,,,,,,Interacted with customers to provide them with tea and tea ware that fit their needs and palates
,,,,,,Acted as official trainer for new employees and served as a source of scientific information about tea for other employees
9/1/06,1/15/07,Cashier,Orchard Nursery,"Lafayette, CA",other,Interact with customers and other employees to answer customer questions
,,,,,,Demonstrated knowledge of products offered
5/15/06,8/15/06,Conference Aide,Whitman College,"Walla Walla, WA",other,Collaborated efficiently as part of a team to deliver an optimal experience to the customers
,,,,,,Represented Whitman College when communicating with clients
,,,,,,"Met needs of event groups including set-up of equipment, providing lodging, clean-up, and logistical support"
1/1/04,5/15/06,Building Manager,Whitman College,"Walla Walla, WA",other,Represented Whitman College when greeting guests
,,,,,,Demonstrated responsibility by closing down the building at the end of the day
,,,,,,Served as a knowledgeable resource to answer questions about the campus and campus events
9/15/15,5/15/16,President,Tufts BUGS (Biology Union of Graduate Students),"Medford, MA",service,Provided active leadership at meetings.
,,,,,,Encouraged continued interaction between members between meetings
,,,,,,Prepared a budget and submitted funding requests
8/15/09,5/15/10,Outreach and policy committee,UIUC Graduate Students in Ecology and Evolutionary Biology (GEEB),"Champaign, IL",service,Act as liaison to other ecology and conservation related clubs on campus.
,,,,,,Keep club members informed of ecology related events on campus.
,,,,,,Solicit advice to other ecology related clubs.
8/15/08,1/15/09,Graduate student symposium food committee chair,UIUC Graduate Students in Ecology and Evolutionary Biology (GEEB),"Champaign, IL",service,Assist in organizing the PEEC symposium.
,,,,,,Plan and provide breakfast and mid-morning snack for attendees of the symposium
,,,,,,Communicate with PEEC treasurer on matters of budget.
1/15/19,5/15/19,Organisms and Populations (Lecture TA),Tufts University,"Medford, MA",teaching,Captured video recordings of live lecture and uploaded to course management site
,,,,,,Created and evaluated student assessments
1/15/19,5/15/19,Undergraduate Mentor,Tufts University,"Medford, MA",mentoring,"Mentored undergraduate through the design, implementation, and write up of an experiment"
7/15/19,12/15/20,Graduate Research Assistant,Crone Lab,Tufts University,research,Developed the R package \emph{bumbl} which provides functions for modeling bumblebee colony growth.
1/15/20,5/15/20,Ecological Statistics and Data (Instructor of record),Tufts University,"Medford, MA",teaching,"Lectured on probability theory, generalized linear models, mixed effects models, and hierarchical models"
,,,,,,Created assignments and assessments in R Markdown
,,,,,,Mentored a teaching assistant in charge of a lab section
5/15/20,present,Postdoctoral associate,Bruna Lab,University of Florida,research,Manage and integrate long-term datasets on precipitation and plant demography
,,,,,,Quantify drought frequency and severity at different scales
,,,,,,Use generalized additive models and two-dimensional splines to test for potentially lagged and non-linear effects of drought on vital rates
,,,,,,Use simulation models to understand effects of drought and fragmentation on population viability
6/1/20,present,Founding member,UFPDA (UF Postdoc Association),University of Florida,service,Worked with a team to create a chapter of the National Postdoctoral Association at University of Florida
